Sentences,Aspect,Target,Polarity,Time
"
Tenaga ahli yg profesional ...tingkatkan pelayanan selalu dan tiket parkir gratis n nyaman ..",Parking,NULL,Negative,2 years ago
"
Pelayanan telepon sangat buruk, pihak rumah sakit premier dengan sengaja menutup panggilan telepon saya. Dan tidak memberi jawaban.",Receptionist&Billing,Premier Hospital,Negative,2 years ago
"
Dokter d Perawat serta Perawatan baik","Doctor, Nurse","NULL, NULL","Positive, Positive",a year ago
"
Semua pelayanan dan penanganan sangat profesional sekali.",NULL,NULL,Positive,a year ago
"
Tempatnya bersih, tempat parkir luas tidak dikenakan biaya, pelayanannya sangat bagus, toiletnya banyak dan bersih bersih, disetiao sudut tersedia hand sanitizer, pelayanan ugdnya tanggap, fasilitasnya bagus, kantinnya ramah kantong dan hidangan yang dijual lezat, tempat tunggu di dalam rumah sakit yang tersedia banyak","Cleanliness, Parking, Waiting Time, Test&Examination, Food","NULL, NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive, Positive",3 years ago
"
Orang tua tidak direkomendasi dirawat di sini karena kualitas kasurnya kurang baik sehingga kalau ditiduri langsung amblas meskipun kelas 1 sehingga pasien akan mengeluh kesakitan karena punggungnya sakit. Manajemen RS perlu memperhatikannya agar orang yang sakit tidak ketambahan sakitnya. Solusinya ditukar  dengan kasurnya penunggu",NULL,NULL,Negative,3 years ago
"
Operatornya abal2..
Di telp selalu mesin yg menjawab,  sambungan ke operator gak bisa",Receptionist&Billing,NULL,Negative,a year ago
"
Dokter & perawat di rumah sakit ini ramah dan berkualifikasi,hanya saja kadang jumlah nya tidak sebanding dengan pengunjung rumah sakit yang banyak sehingga dalam waktu tertentu antrian bisa begitu panjang.. makanan di kafetaria sangat beragam & lezat,tapi untuk menu2 tertentu pada sore hari sudah habis..","Doctor, Nurse, Waiting Time, Food","NULL, NULL, NULL, NULL, ","Positive, Positive, Negative, Neutral",3 years ago
"
Dr. Valen ganteng, baik, profesional,ramah",Doctor,NULL,Positive,7 months ago
"
Setaraf RS",NULL,NULL,Positive,7 months ago
"
Oplator sangat tanggap",Receptionist&Billing,NULL,Positive,7 months ago
"
Yang paling asik dari tempat ini adalah kantin nya. Kantin disini sangat bersih, dan gado gado nya itu enak banget. Kita sering kesini hanya untuk makan Gado Gado aja, asik kan? :)","Food, Cleanliness","NULL, NULL","Positive, Positive",3 years ago
"
rumah sakit bersih, keamanan di pintu utama maupun saat memasuki ruang pasien juga bagus. kualitas dokter spesialisasi bagus.","Cleanliness, Safety, Doctor","NULL, NULL, NULL","Positive, Positive, Positive",3 years ago
"
Tempat rawat inepnya kurang bagus saya kira satu kamar 1pasien ternyata 2atau lebih",NULL,NULL,Negative,2 years ago
"
Fasilitas nya oke banget, dokter dan perawat juga oke, tempat langganan nenek kalau sakit ke rumah sakit ini and well hampir GK pernah mengecewakan sie","Test&Examination, Doctor, Nurse","NULL, NULL, NULL","Positive, Positive, Positive",3 years ago
"
Direkomendasikan untuk pelayanan dokter specialis kulit",Doctor,NULL,Positive,3 years ago
"
Bagus pelayanan nya dan cepat dokter nya periksa",Doctor,NULL,Positive,a year ago
"
Lokasinya di tengah perumahan jd bukan di pinggir jalan utama. Namun kredibilitas cukup baik",NULL,NULL,Positive,2 years ago
"
Rumah Sakit yg lengkap dgn Poli Spesialis, mulai Spesialis Anak, Kulit & Kelamin,  THT,  Penyakit Dalam,  Jantung,  Paru,  Rehab Medik,  Neurologi,  Orthopaedi, Gigi, Obsgyn dan UGD.",NULL,NULL,Positive,2 years ago
"
pelayanan nya oke la",NULL,NULL,Positive,11 months ago
"
Pelayanam memuaskan...
Dokter profesional... perawat sangat berkompeten...
Peralatan sangat lengkap dan canggih...
Tapi Harga mahal banget bosss......","Doctor, Nurse, Test&Examination, Cost","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Negative",3 years ago
"
RS yg sudah terakreditasi JCI nih. Jadi gak usah ragu lagi kalo mau berobat kesini",NULL,NULL,Positive,3 years ago
"
Halo...ariefffff dokter mata yg ramah...",Doctor,NULL,Positive,a year ago
"
Rumah sakit yang bersih, pelayanan yang ramah. Hanya bagian radiologi yang agak lamban, untuk bacaan ct scan hrs tunggu lama. ","Cleanliness, Waiting Time","NULL, Radiology Section","Positive, Negative",4 years ago
"
Kualitas terbaik , pelayanan sangat baik , buat saya ini tempat print nomor 1 di surabaya",NULL,NULL,Positive,2 years ago
"
Siap untuk mengabdi smdisini semoga bisa dan barokah ya ... aamiin",NULL,NULL,Positive,2 years ago
"
RS untuk kalangan elite.Pelayanan bagus. Ada kantin dengan menu terbaik di dalamnya. Lempernya juaraaaak!",Food,NULL,Positive,3 years ago
"
Pelayanan UGD nya parah",NULL,Emergency Unit,Negative,a year ago
"
Pelayanan sangat profesional",NULL,NULL,Positive,10 months ago
"
bezoek doang, tapi sepintas lebih baik daripada yg RS di Gubeng. ga tau harganya.",Cost,NULL,Neutral,4 years ago
"
Peralatan medis terkalibrasi n maintenance berkala..d jamin pemeriksaan hasil akurat..",Test&Examination,NULL,Positive,4 years ago
"
Semoga semua yg sakit di beri kesembuhan..",NULL,NULL,Positive,2 years ago
"
rumah sakitnya berkelas,profesional, bersih, dan ramah, cafenya juga mantap,... kapan terjangakau buat rakyat kecil...??  Hehe..","Cleanliness, Food, Cost","NULL, NULL, NULL","Positive, Positive, Negative",4 years ago
"
bersih n nyan",Cleanliness,NULL,Positive,2 years ago
"
Aq dulu pernah kerja disini jd no coment aj deh",NULL,NULL,Neutral,3 years ago
"
telpon rumah sakitnya sangat amat susah untuk dihubungi",Receptionist&Billing,NULL,Negative,2 years ago
"
Suster e bahenol2",Nurse,NULL,Positive,a year ago
"
Perawat dan Staff cukup ramah, ruangan bersih dan nyaman. Makanan di kantinnya cukup enak.","Nurse, Cleanliness, Food","NULL, NULL, NULL","Positive, Positive, Positive",3 years ago
"
Rumah sakit di daerah timur Surabaya yang paling representatif",NULL,NULL,Positive,2 years ago
"
Tempatnya nyaman",NULL,NULL,Positive,3 years ago
"
meskipun deket dpn rmh, nggk recommended karena mahal ",Cost,NULL,Negative,3 years ago
"
Rapi, bagus sih secara fisiknya.",NULL,NULL,Positive,2 years ago
"
Mahal tp dokter giginya hebat.","Cost, Doctor","NULL, NULL","Negative, Positive",3 years ago
"
Tersedia banyak dokter spesialis, tempat menunggu dan rawat inap nyaman",Doctor,NULL,Positive,2 years ago
"
Rumah sakit besar nan mewah, tentunya dgn harga yang mahal pula",Cost,NULL,Positive,2 years ago
"
Fasilitas ok, staff ramah, pelayanan cepat, toilet kurang bersih","Waiting Time, Cleanliness","NULL, Toilet","Positive, Negative",a year ago
"
Bgs dn bersih ..",Cleanliness,NULL,Negative,3 years ago
"
Gedung bagus.fasilitas cukup lengkap.pelayanan ramah",Test&Examination,NULL,Positive,a year ago
"
Bersih dan nyaman ",Cleanliness,NULL,Positive,3 years ago
"
Pelayanannya sangat ramah Dan ibu Saya bekerja di situ",NULL,NULL,Positive,5 years ago
"
biaya sesuai dgn pelayanan..
petugas ramah",Cost,NULL,Positive,3 years ago
"
Sangat sip",NULL,NULL,Positive,2 years ago
"
Bersih, nyaman, pelayanan bagus. Pengalaman selama ini kualitas pelayanan bagus",Cleanliness,NULL,Positive,2 years ago
"
Dekat dngn rumah",NULL,NULL,Positive,4 years ago
"
Dekat dengan rumah",NULL,NULL,Positive,4 years ago
"
Tempat Rapih, bersih,dan disiplin, punya MRI 3T","Cleanliness, Test&Examination","NULL, NULL","Positive, Positive",3 years ago
"
Bagus dan bermanfaat buat masyarakat ..",NULL,NULL,Positive,2 years ago
"
Gaul",NULL,NULL,Positive,a year ago
"
Rumah sakit",NULL,NULL,Neutral,a year ago
"
Tempatnya bagus, indah, bersih dan strategis",Cleanliness,NULL,Positive,2 years ago
"
Rumah sakitnya sangat bagus...",NULL,NULL,Positive,a year ago
"
Bagus hlo",NULL,NULL,Positive,3 years ago
"
Pelayanan sangat bagus, namun harga relatif mahal",Cost,NULL,Negative,2 years ago
"
Bersih Tp pelayanannya kurang",Cleanliness,NULL,Positive,2 years ago
"
Ruang tunggue nyaman..",NULL,NULL,Positive,2 years ago
"
Rumah sakit standar Internasional. Sayang tarifnya mahal sekali. ",Cost,NULL,Negative,3 years ago
"
Rumah Sakit yang Profesional dan Memuaskan",NULL,NULL,Positive,2 years ago
"
Pelayanan ramah, cukup nyaman",NULL,NULL,Positive,2 years ago
"
Rumah Sakit Swasta. ",NULL,NULL,Neutral,3 years ago
"
Ruang tunggunya bagus",NULL,NULL,Positive,2 years ago
"
Modern dan bersih",Cleanliness,NULL,Positive,3 years ago
"
Rumah sakit International. Harga menentukan kualitas.",Cost,NULL,Negative,3 years ago
"
Bagus sekali",NULL,NULL,Positive,3 years ago
"
Rumah sakit berkelas. Pelayanan baik. Nyaman.",NULL,NULL,Positive,3 years ago
"
Bersih dan profesional ",Cleanliness,NULL,Positive,3 years ago
"
Rumah sakit mahal",Cost,NULL,Negative,4 years ago
"
RS. berlebel Internasional.",NULL,NULL,Positive,4 years ago
"
Ula la la. Cari sembuh",NULL,NULL,Positive,3 years ago
"
Sip no problemo",NULL,NULL,Positive,4 years ago
"
Keramahannya dan pelayanannya sip",NULL,NULL,Positive,4 years ago
"
Rumah baruku",NULL,NULL,Positive,4 years ago
"
InshaAllah selalu bagus",NULL,NULL,Positive,5 years ago
"
sangat bagus.....",NULL,NULL,Positive,4 years ago
"
Bersih, Ramah...",Cleanliness,NULL,Positive,5 years ago
"
Bagus",NULL,NULL,Positive,5 years ago
Tempat nya buruk sekali keles biarin mau tanya rumah nya via Vallen,NULL,NULL,Negative,a day ago
Awesome place,NULL,NULL,Positive,a year ago
Clean n Clear,Cleanliness,NULL,Positive,a year ago
Type B,NULL,NULL,Neutral,7 months ago
"
Rumah sakit universitas airlangga berkolasi di tempat yang sama dengan kampus c universitas airlangga.
Para mahasiwa fakuktas kedokteran banyak melakukan praktek di rumah sakit ini.
Selain rumah sakit yang berfungsi untuk berobat, juga terdapat bank center, kantin, dan toko swalayan.
Rumah sakit ini disediakan untuk umum tidak hanya keluarga universitas airlangga saja.",Food,Universitas Airlangga Hospital,Positive,a year ago
"
Baik pelayanan memadai , baik dan relatif cepat.Hanya jumlah pasien yg sangat tinggi setiap hari nya sedikit mengurangi kenyamanan pasien",Waiting Time,NULL,Positive,a year ago
"
Saya sebagai alumni Unair bangga sekali menjadi bagian dari kampus ini. Rumah sakit unair semakin berbenah dan berkembang sejak dibandingkan beberapa tahun lalu saat saya masih kuliah. Sekarang ada beberapa outlet makanan dan minimarket dibagian depan rumah sakit. Ini memudahkan keluarga pasien dan pengunjung untuk membeli keperluan selama berada di rumah sakit. Good job! Karna dulu susah sekali menemukan toko untuk membeli keperluan seperti air mineral, dll
Sempat sholat disini saat kemarin berkunjung. Musholanya bersih. Namun toiletnya mengecewakan karna seperti tidak terawat. Bau dan kurang bersih. Semoga menjadi pembelajaran buat management rumah sakit untuk selalu menjaga kebersihan setiap fasilitas di rs.","Food, Cleanliness","Unair Hospital, Unair Hospital","Positive, Neutral",11 months ago
"
kesini mau medichal check up.
rumah sakit pemerintah lainnya full disini masih ada sisa.
daftar hari senin, tes hari rabu.
pelayanan sangat baik dan prima. dokternya sangat ramah dan bekerja dengan baik.
patut diacungi jempol soal kualitas pelayanan. meskipun pelayanan memuaskan, tp masih sedikit pasien disni. mungkin belum ada sosialisasi yg menyeluruh.",Doctor,NULL,Positive,a year ago
"
Saya rawat inap di rs ini (pasien umum/mandiri kelas I) selama 2 hari, Sangat TIDAK REKOMENDASI, perawat dan staff sangat tidak manusiawi:
-Infus saya habis, malah dibiarkan begitu saja (2X lho). Padahal saya sudah menekan berkali kali untuk tombol suster/perawat hingga darah saya naik ke atas, sepupu saya juga memanggil perawat yang ada di luar karena panik , eh malah disuruh menunggu dengan cuek dan jutek.

- Perawatnya sangat tidak profesional, saat perawat mengambil darah untuk lab, yang mereka ambil malah nadi yang berada di kaki kanan saya hingga darah saya berceceran dilantai. perawatnya dengan cuek bilang, Ditunggu aja ya mbak dengan expresi yang sangat ketus. Padahal saya sudah sering tes lab (Pramita dan Prahita) ,selalu ambil darah di tangan dan itupun selalu berhasil

- Saat proses keluar dari rs, adek sepupu saya (penunggu pasien) dihardik oleh apoteker lantai 1 (apotek 24 jam) dengan SANGAT TIDAK SOPAN. Padahal bagian kasir,informasi,satpam, dan farmasi lantai 4 pelayanannya sangat ramah sekali. Ya mungkin nggak punya attitude juga ya yang apoteker 24 jam lantai 1 dekat igd. Masa kalah dengan satpam? 

Update 11 oktober :

Oh jadi gini ya cara RS Airlangga menanggapi, ini awalnya kan google review RS Airlangga bukan Klinik Vaskular. Klinik Vaskular ada google reviewnya sendiri dan memang lebih bagus daripada RS nya

itu foto di googlenya masih RS lho ya, bukan klinik vaskular","Nurse, Waiting Time, Receptionist&Billing","Airlangga Hospital, Airlangga Hospital, Airlangga Hospital","Negative, Negative, Positive",9 months ago
"
Untuk penerangan rs nya kurang terang",NULL,NULL,Negative,11 months ago
"
Cukup sekali dan tidak lagi untuk rawat inap, biaya Mandiri Kelas I pelayanannya keterlaluan juteknya, diminta ganti infus harus berkali-kali tidak datang-datang (padahal darah udah keangkat sampai atas), belum lagi bagian apoteker lantai 1 ditanya baik-baik mengenai resep obat ketus sekali jawabnya. Plus untuk saran dan kritik bukannya harusnya anonim ya? Itu ditulis oleh perawatnya nama kita.

Bener sih antara BPJS dan Mandiri tidak dibedakan, sama-sama gak dianggap",Nurse,NULL,Negative,9 months ago
"
Pelayanannya sungguh sangat mengecewakan, lelet poll, ketus"" karyawannya, sudah 3hari berturut-turut bolak balik kesini tapi tetep aja pelayanannya lelet cok, total all butuh waktu kurang lebih hampir 8jam untuk periksa disini dari proses antri di loket, periksa ke poli, perlu ke kasir juga ambil obat di apotik juga, sudah kayak jam kerja karyawan aja butuh waktu 8jam, yang sakit butuh perawatan nya dan obatnya malah gak sembuh"" klo seperti ini pelayanannya keburu meninggal itu orang yang berobat ",Waiting Time,NULL,Negative,11 months ago
"
Saya tiap bulan kontrol kesini, tempatnya bersih.",Cleanliness,NULL,Positive,a year ago
"
Bangunan yang megah dan nyaman ",NULL,NULL,Positive,3 weeks ago
"
Salah satu fasilitas dari Universitas Airlangga nampak dari Danau Universitas Airlangga.",NULL,Universitas Airlangga Hospital,Positive,a year ago
"
Layanan rawat jalan bagus banget. Tapi jangan sampai menginap deh. Sangat tidak manusiawi. Sebelah ada tmpt tidur kosong, kelupaan naruh barang di sana, dimaki2. Tidur di kursi yg kosong juga dimarahi. Bawa tikar untuk tidur tidak boleh. Pasien kalau tidak dijaga? Ada infus habis atau kencing tidak keluar mereka tidak tahu. Benar2 mengecewakan dan tidak manusiawi. Yg jaga kan juga manusia ya. Mohon kebijakan yg benar nih.",NULL,NULL,Negative,a year ago
"
Pelayanan di rumahsakit ini sangat optimal. Selain itu memiliki fasilitas rumah sakit besar. Rumah sakit ini dibuka untuk umum.

Fasilitas :
- Lab lengkap
- ruangan bersih
- pelayanan representatif

Catatan :
Parkir diperbaharui dengan sistem yang lebih terkini","Test&Examination, Cleanliness, Parking","NULL, NULL, NULL","Positive, Positive, Negative",a year ago
"
Overall cukup bagus, tapi fasilitas kamar kelas 2nya (lt.3), ACnya hanya angin semilir, ruangan pengap, malah masih seger udara di koridornya. pihal RS UNAIR tolong benahin dong, pasiennya makin sakit ga bisa istirahat kalo gini caranya. Juga untuk ranjannya agak tinggi, mama saya rawat inap disini utk operasi hip replacement (BPJS), dan karena ga leluasa gerak (sakit pinggulnya), naik turun ranjang susah bener apa ga ada tangga kecil (undak2an) yang bisa ditaroh samping tempat tidur?",NULL,Unair Hospital,Negative,a year ago
"
.. parkiran kurang besar , gedung besar tapi parkiran tdk ada yg mengarahkan ... buruk sekali ...

kantin jg tempat duduk sedikit sementara yg jual banyak ..

manajemennya ... kemana woyyyyy !!!",Parking,NULL,Negative,a year ago
"
Lokasinya strategis dan terjangkau. Tempat parkirnya cukup luas. Tampak bagus gedungnya,  Fasilitas di dalam OK. Pelayanannya ramah juga OK, .","Parking, Test&Examination","NULL, NULL","Positive, Positive",a year ago
"
Rsua unair terus berbenah. Bpjs disini juga bisa dipake kamarnya bagus ada ac dan oendinginnya ada dunkin donat juga disini beberapa bank juga ada.",Food,Unair Hospital,Positive,a year ago
"
Pendaftaran pasien melalui aplikasi.. ""portal rsua"". Ok banget jd datang ngga antre lama2..","Receptionist&Billing, Waiting Time","NULL, NULL","Positive, Positive",a year ago
"
Sangat tidak profesional saya memberi keluhan hanya diliatin saja! Tidak ada tindak lanjut!",NULL,NULL,Positive,a year ago
"
Sangat kecewa dg pelayanannya, di ugd g dianggap. Suruh Nunggu g diapa2in. Petugasnya ketus.... Keleleran Nunggu anak saya anfal apa....",Waiting Time,Emergency Unit,Negative,a year ago
"
Pakai bpjs tapi obat katanya tidak ada, harus beli diluar!!! Kenapa saya harus tunggu antri panjang dengan nyeri keras untuk cuman dikasih tahu obat mereka habis dan saya harus beli diluar pakai uang sendiri!?? Sangat kecewa.",Waiting Time,Pharmacy,Negative,a year ago
"
Rumah sakit ini tergolong masih muda. Tapi pelayanannya bagus. Terutama sudah menerima pasien BPJS. Saya pernah merawat ibu saya rawat inap di lt2 pakai BPJS kelas 1. Benar2 bagus pelayanannya. Kita tidak usah repot mondar mandir. Karena semua sudah dilayani oleh perawat dan pihak rumah sakit. Untuk rawat inap sangat mudah proses adminnya. Dan tidak berbelit sm sekali. HEBAT ","Nurse, Receptionist&Billing","NULL, NULL","Positive, Positive",a year ago
"
Pelayanan sangat bagus. Dokter juga enak penjelasannya ketika konsultasi",Doctor,NULL,Positive,a year ago
"
Pelayanannya bagus, sopan, perawatnya baik, ramah",Nurse,NULL,Positive,a year ago
"
Dimulai dari bbrp kali bolak balik harus ke poli, ambil nomer antrian dr aplikasi itu sangat membantu, meskipun antrian banyak namun pelayanan sangat cepat. Tempat juga nyaman, keramahan pegawai jg sangat bagus. Tidak ada perlakuan beda untuk pasien BPJS. Bersih, nyaman, lengkap.
Begitu pula dengan pelayanan rawat inap, kelas 1 sudah  sangat nyaman, pelayanan dari perawat jg sangat baik.ketika pulang pun kita masih d layani dengan sangat baik, semua berkas sudah d siapkan jadi kita tidak perlu repot lagi menyiapkan.. terimakasih RS Unair untuk pelayanannya.","Receptionist&Billing, Waiting Time, Cleanliness, Nurse","Unair Hospital, Unair Hospital, Unair Hospital, Unair Hospital","Positive, Positive, Positive, Positive",a year ago
"
sangat memuaskan pelayanannya.tidak membedakan antara pasien bpjs dan umum.pertahankan",NULL,NULL,Positive,11 months ago
"
Pelayanan kurang baik, perawat proses persalinan kurang ramah bahkan bisa dikatakan tidak sopan "" MENGUSIR TAMU"" ",Nurse,NULL,Negative,a year ago
"
Perbaiki layanan customer service nya..",Receptionist&Billing,NULL,Negative,a year ago
"
Waktu teman saya sakit, mereka ditolong di sini.",NULL,NULL,Positive,a year ago
"
Rumah sakit pendidikan akreditasi B",NULL,NULL,Neutral,a year ago
"
Customer service sangat mengecewakan",Receptionist&Billing,NULL,Negative,a year ago
"
Bersih...",Cleanliness,NULL,Positive,a year ago
"
Bagus sekali",NULL,NULL,Positive,a year ago
"
Bersih, nyaman, dan lengkap",Cleanliness,NULL,Positive,a year ago
"
Rs nya bagus tapi antriannya ",Waiting Time,NULL,Negative,2 years ago
"
RS Pendidikam",NULL,NULL,Neutral,a year ago
"
Bagus",NULL,NULL,Positive,2 years ago
First time and bad impression,NULL,NULL,Negative,6 months ago
Good hospital,NULL,NULL,Positive,8 months ago
Best Hospital,NULL,NULL,Positive,3 years ago
"
Mending cari RS lain. Buruk bgt disini",NULL,NULL,Negative,3 weeks ago
"
Karena walaupun fasilitas rumah sakit lengkap, bersih, luas, termasuk murah dan terjangkau di Surabaya barat namun masih ada kekurangan yaitu pelayanan FARMASI KURANG CEPAT !!!, SUSTER YANG BOBROK !!! dan poli klinik yang sangat RAME.. IGD AMBURADUL !!! ADMINISTRASI yang KOCAK Tolong ditingkatkan !!!","Test&Examination, Cleanliness, Cost, Waiting Time, Nurse, Receptionist&Billing","NULL, NULL, NULL, Pharmacy, NULL, NULL","Positive, Positive, Positive, Negative, Negative, Negative",6 months ago
"
Perawat sangat tidak sopan dan kurang respeck kmaren aku pendarahan malah di bentak2  gk di reken...sangat di sayangkan",Nurse,NULL,Negative,a month ago
"
Tempatnya yang lyas terkadang membuat bingung. Tpi untuk pelayanam dan berbagai ruangannya menurut saya sudah mewadai. Ada lift dan juga tangga yang menjadi alternatif untuk ke lamtai atas. Parkiran yang luas.",Parking,NULL,Positive,a year ago
"
orang tua saya sakit di ruang isolasi
saya butuh masker untuk menjaga kesehatan saya selama menunggu ortu saya di RS
masker langka beli sana sini kosong
beli masker di RS tidak dikasih 
hmm seharusnya pihak RS juga menjaga kesehatan para keluarga yg menunggu si pasien..",NULL,NULL,Negative,4 months ago
"
dokter spesialis ANAK sangat JELEK pelayananya. bunda, jangan kesini ya. sakit hati doang nantinya. memang biaya DOKTER SPESIALIS hanya 20.000,. mungkin rumah sakiit menyesuaikan antara biaya menyesuaikan KUALITAS DOKTER. dan anak saya juga tidak sembuh berobat disini. akhirnya ke RS DARMO yang 10x lebih mahal (200.000) namun pelayanannya sangat memuaskan . oh ya, perawat yang di depan itu juga suka teriak2 kalau manggil kaya orang kelaparan. gak sopan sama sekali.","Doctor, Cost, Nurse","NULL, NULL, NULL","Negative, Positive, Negative",5 months ago
"
saya pernah berobat ke IGD BDH, pelayanannya TOP banget, bagus dan cepat. petugasnya baik dokter dan perawat ramah juga cekatan, mereka bekerja sesuai prosedur semua. saya puas berobat di BDH. 

saat saya berobat sih, keluhan saya hanya demam batuk pilek dan muntah sekali, saat itu memang pasien di IGD sangat ramai (ya namanya juga IGD pasti ramailah, saya sampe hampir nunggu 1 jam lebih), tapi saya tetap diperiksa ditensi disuhu dan ditanya keluhannya terus saya dijelasin kalo pasien gawat yang didahulukan. jadi saya tau kalo saya bakal dipanggil sesuai kegawatan. 

terima kasih BDH","Waiting Time, Doctor, Nurse","BDH Hospital, BDH Hospital, BDH Hospital","Positive, Positive, Positive",5 months ago
"
Kalo pelayanan rawat inapnya c lumayan bagus..tapi saat mau pulang dan serahin berkas di admin yang tanpa nomer antrian akhirnya nama anak saya tidak dipanggil-panggil padahal saya datang duluan,nyerahin berkas duluan eh malah di panggil duluan yang baru numpuk..setelah saya protes baru dipanggil..alasannya ganti petugas shift dan tidak ada nomer antrian..saya bilang kenapa tidak di beri nomer antrian..malah suruh nulis di kotak saran..","Waiting Time, Receptionist&Billing","NULL, NULL","Negative, Negative",6 months ago
"
RSUD BDH faskes rujukan BPJS kelas C, tapi pengalaman saya selama berkunjung kesana sangat menyenangkan
Rumah sakitnya bersih sekali, nyaman
Tersedia tempat bermain anak
Tersedia fasilitas masjid yg nyaman, bersih, ber AC, mukena juga selalu bersih dan wangi
Polikliniknya lengkap, dokter spesialisnya banyak
Sangat recommended, sukses selalu BDH","Cleanliness, Doctor","BDH Hospital, BDH Hospital","Positive, Positive",a year ago
"
Parah IGD nya , masak anak sudah parah kenak usus buntu  , udah masuk di dalam di suruh keluar sama suster dan securitynya ,karna ada yg lebih parah sakitnya , mending cari rumah sakit lain",Nurse,NULL,Negative,6 months ago
"
Fasilitas cukup lengkap..
Tempat bersih dan Rapi..
Parkir luasss...
Pelayanan memuaskan..
Petugas n dokternya Ramah..
Profesional..
","Test&Examination, Cleanliness, Parking, Doctor","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",a year ago
"
Poli anak nya sumpah kacau balau. Perawatnya gak sopan. Dokternya juga sama. Sombong parah !! Gajinya berapa seh kok pada sombong ??","Nurse, Doctor","Polyclinic, Polyclinic","Negative, Negative",5 months ago
"
Bnyk yg mengeluh pelayanan buruk terutama IGD dan ternyata benar. Buruk dlm artian petugas medis yg krg paham prosedur penanganan ataupun pengoperasian alat (pdhl cukup lengkap). Mungkin kalo tdk dtanya bisa2 hanya menunggu tdk jelas d tempat tdr IGD. Sayang sekali RS sebesar ini punya kualitas yg krg.","Doctor, Test&Examination, Waiting Time","Emergency Department, Emergency Department, Emergency Department","Negative, Negative, Negative",6 months ago
"
Sangat sangat mengecewakan! Pasien sakit biasa aja bisa jd jantungan dsna  coba jelaskan apa fungsi triase depan igd klo ujung2nya ditolak sama dokter jaga krn bukan tergolong pasien igd?? Nunggu sejam dari loket pendaftaran baru dpt penanganan itupun di triase utk diketahui detail keluhannya. Nunggu 2jam lebih baru penanganan dokter dan tiada hasil krn tergolong bukan penyakit gawat dan akhirnya di anjurkan ke spesialis. Akhirnya pulang dg tangan kosong setelah berjam cuman liatin pegawainya yg grumbulan aja ","Doctor, Waiting Time, Test&Examination","NULL, NULL, NULL","Negative, Negative, Negative",7 months ago
"
sebuah rumah sakit dengan model bangunan yang modern tidak seperti rumah sakit pada umumnya, tata letak antar bangunannya sangat bagus dan rapi, tempat parkir yang cukup luas dan enak jika dilihat. fasilitas yang memadai, tempatnya sangat strategis, pelayanannya juga cukup baik, pelayannya juga ramah ramah","Parking, Test&Examination","NULL, NULL","Positive, Positive",a year ago
"
Parkir luas.......................................................................... bersih dan nyaman.................................................................................
Ramah ramah....................................................................... pelayanan cepat.....................................................................
Luar biasa..............................................................................","Parking, Cleanliness, Waiting Time","NULL, NULL, NULL","Positive, Positive, Positive",a year ago
"
Pelayanan Sangat Buruk. Silahkan coba sendiri.",NULL,NULL,Negative,5 days ago
"
Bapak saya sekarang sedang dirawat inap d Yudistira9 kelas 1...lampu kamar mati ...tapi sudah d adukan dari pagi sampe sore begini belum ada penanganan...suster jaga d lapor i ..hanya bilang iya nanti di tindak lanjut i....tega banget sama pasien d biarkan dalam gelap ....rumah sakit sangat tidak rekomanded","Waiting Time, Nurse","NULL, NULL","Negative, Negative",7 months ago
"
di sini tempatnya besar,luas dn tempak parkir nya besar tapi kenapa aku kasih binatng 3 karena ini aneh,padahal belum dipanggil terus saya tanya malah dijawab udah dipanggil tapi saya aja yang gk dengar,  padahal disana tidak memanggil nama saya dan orang barusan datang langsung dilayani padahal gk darurat kalo darurat kan wajar.tolong di perbaiki dong kok kayak gk adil gitu.jadi yaa maaf kalo saya beri 3 bintang aja karena pelayanan nya kurang memuaskan.terima kasih","Parking, Receptionist&Billing","NULL, NULL","Positive, Negative",7 months ago
"
Pelayanan tidak menyenangkan , saya sudah menjadi pasien sebelumnya, data sudah ada tapi masih diminta KTP asli 
Alhasil KTP saya hilang di tempat pendaftaran, padahal keluarga saya belom ada yg mengambil tapi orangnya bilang sudah diberikan , dasar tidak ada tanggung jawab sama sekali sampai sekarangpun belom ada kabar padahal bilangnya mau dikabarin",Receptionist&Billing,NULL,Negative,7 months ago
"
Registrasinya ruwet mbulet jlimet di tambah dokter spognya nga ada ramah ramahnya sama sekali juwaji kalau orang jawa bilang ...dan benar kata temen temen q ojo ndek bdh warga sekitar kendung aja ogah ke situ","Receptionist&Billing, Doctor","BDH Hospital, BDH Hospital","Negative, Negative",7 months ago
"
RS level B sebelum menuju ke Dr. Sutomo, semoga masyarakat bisa menjaga kebersihan dan keberlangsungan sarana dan prasarana publik-nya.",Cleanliness,NULL,Neutral,a year ago
"
Gak niat kerja gak usah kerja! Njenengan kabeh iku nang jasa pelayanan ojok mencureng aeh!",NULL,NULL,Negative,5 months ago
"
Good.. bersih.. kamar luas.. AC..  langganan keluarga suami..",Cleanliness,NULL,Positive,11 months ago
